职称 地区 公司资质 要求 薪资 福利
软件工程师（Python） 苏州-相城区 "民营公司 " " 本科  无需经验" 1-1.5万/月 " 五险一金 补充公积金 员工旅游 交通补贴 "
Python开发工程师 成都 "民营公司 " " 大专  2年" 1-1.2万/月 " 周末双休 带薪年假 绩效奖金 五险一金 "
高级python开发工程师 成都-高新区 "民营公司 " " 本科  2年" 9-18万/年 " 五险一金 专业培训 年终奖金 弹性工作 "
Python开发工程师 汕头-金平区 "民营公司 " " 大专  2年" 0.6-1.2万/月 " 员工旅游 餐饮补贴 专业培训 社保 "
Python开发工程师 南京 "民营公司 " " 大专  3-4年" 15-20万/年 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发经理 武汉-洪山区 "民营公司 " " 本科  5-7年" 1.2-1.5万/月 " 五险一金 股票期权 扁平管理 带薪年假 "
python爬虫工程师 杭州-滨江区 "民营公司 " " 本科  1年" 1.2-2万/月 " 五险一金 年终奖金 定期体检 绩效奖金 "
python/爬虫工程师（双休） 南京-鼓楼区 "民营公司 " " 本科  1年" 1-1.5万/月 " 做五休二 周末双休 弹性工作 带薪年假 "
Python开发工程师 武汉-东湖新技术产业开发区 "国企 " " 大专  1年" 0.6-1.2万/月 " 定期体检 餐饮补贴 交通补贴 周末双休 "
Python开发工程师（南京） 南京-雨花台区 "民营公司 " " 本科  2年" 1.2-1.6万/月 " 五险一金 绩效奖金 节日福利 带薪年假 "
python后台开发 杭州 "民营公司 " " 本科  3-4年" 1.2-2.5万/月 " "
"Python 软件开发工程师-东莞新工厂-9-12K" 东莞 "民营公司 " " 本科  1年" 0.9-1.2万/月 " 五险一金 年终奖金 带薪年假 周末双休 "
python工程师(J10623) 无锡-无锡新区 "上市公司 " " 本科  2年" 1-2万/月 " "
Python后端开发工程师 南京-江宁区 "民营公司 " " 本科  1年" 1.2-1.8万/月 " 五险一金 股票期权 弹性工作 定期体检 "
"Sr. Python Engineer" 东莞-厚街镇 "外资（非欧美） " " 大专  2年" 1-1.5万/月 " 周末双休 带薪年假 五险一金 包住宿 "
软件工程师/python工程师 长沙 "民营公司 " " 大专  2年" 0.7-1.2万/月 " 弹性工作 五险一金 绩效奖金 年终奖金 "
Python后端工程师 厦门 "外资（非欧美） " " 本科  1年" 0.7-1.2万/月 " 带薪年假 五险一金 包吃 包住宿 "
Python高级开发工程师 武汉 "民营公司 " " 大专  3-4年" 1-1.5万/月 " "
Python开发工程师 南京-雨花台区 "民营公司 " " 大专  无需经验" 0.7-1.3万/月 " 做五休二 带薪年假 五险一金 绩效奖金 "
Python开发工程师 苏州-相城区 "民营公司 " " 大专  3-4年" 0.8-1.5万/月 " "
"Senior Python Developer-高级Python开发" 东莞 "外资（欧美） " " 本科  5-7年" 1.2-1.8万/月 " 五险一金 免费班车 年终奖金 定期体检 "
Python开发工程师 无锡-无锡新区 "民营公司 " " 本科  2年" 1-1.5万/月 " "
Python开发工程师 衢州 "民营公司 " " 本科  1年" 1-1.5万/月 " "
Python开发工程师 宁波-慈溪市 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
python爬虫工程师 杭州-滨江区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 餐饮补贴 交通补贴 通讯补贴 "
"后端开发工程师（Python） (MJ000598)" 天津-武清区 "民营公司 " " 本科  2年" 0.8-1.2万/月 " "
Python开发工程师 大连 "外资（欧美） " " 本科  3-4年" 1-1.5万/月 " 五险一金 补充医疗保险 专业培训 年终奖金 "
Python开发工程师 成都-高新区 "合资 " " 本科  2年" 0.6-1.1万/月 " 五险一金 交通补贴 餐饮补贴 绩效奖金 "
Python开发工程师 长沙-岳麓区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python开发工程师 佛山 "民营公司 " " 本科  2年" 0.8-1.6万/月 " "
Python开发工程师 南京-浦口区 "民营公司 " " 大专  3-4年" 0.9-1.5万/月 " 五险一金 定期体检 年终奖金 周末双休 "
Python高级开发工程师 苏州 "上市公司 " " 本科  2年" 1-2万/月 " 五险一金 带薪年假 绩效奖金 专业培训 "
Python开发工程师 常熟 "民营公司 " " 本科  5-7年" 1-1.5万/月 " 免费班车 餐饮补贴 专业培训 绩效奖金 "
Python开发工程师 南京-鼓楼区 "民营公司 " " 本科  1年" 0.6-1.2万/月 " 周末双休 带薪年假 五险一金 全勤奖 "
Python开发工程师 东莞-东城区 "民营公司 " " 大专  2年" 0.9-1.2万/月 " 通讯补贴 年终奖金 季度奖金 弹性工作 "
python后端开发工程师 成都-高新区 "民营公司 " " 本科  1年" 0.8-1.3万/月 " 五险一金 年终奖金 专业培训 补充医疗保险 "
Python高级开发工程师 温州 "民营公司 " " 大专  3-4年" 0.8-1.5万/月 " 五险一金 员工旅游 通讯补贴 专业培训 "
Python高级开发工程师 南京-鼓楼区 "民营公司 " " 大专  3-4年" 1-2万/月 " 五险一金 专业培训 弹性工作 绩效奖金 "
Python开发工程师 珠海 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 弹性工作 定期体检 年终奖金 "
Python开发工程师 重庆-江北区 "民营公司 " " 本科  3-4年" 0.8-1.2万/月 " 餐饮补贴 交通补贴 年终奖金 五险 "
Python开发工程师 合肥 "民营公司 " " 本科  无需经验" 1-1.5万/月 " "
Python开发工程师 宁波 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 周末双休 带薪年假 五险一金 高温补贴 "
Python工程师 重庆-江北区 "民营公司 " " 大专  1年" 0.8-1.2万/月 " 弹性工作 绩效奖金 专业培训 餐饮补贴 "
AI开发工程师（python） 长沙-芙蓉区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师（苏州）(J10474) 苏州-吴江区 "民营公司 " " 本科  5-7年" 1.3-2万/月 " 五险一金 包吃 包住宿 绩效奖金 "
"Software Developer（python）" 大连-沙河口区 "民营公司 " " 本科  2年" 0.7-1.3万/月 " "
Python开发工程师 济南-历下区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 周末双休 "
Python/.NET/RPA开发工程师 成都-高新区 "外资（非欧美） " " 本科  1年" 0.8-1.2万/月 " 交通补贴 餐饮补贴 周末双休 带薪年假 "
Python开发工程师 杭州 "民营公司 " " 大专  1年" 0.6-1.2万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python开发工程师 武汉-江夏区 "民营公司 " " 本科  1年" 1-1.5万/月 " "
Python开发工程师 杭州-余杭区 "合资 " " 本科  2年" 1-1.5万/月 " 五险一金 年终奖金 周末双休 "
Python开发工程师 西安-未央区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 周末双休 带薪年假 员工旅游 全勤奖 "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  2年" 0.8-1.6万/月 " 周末双休 节日福利 高温补贴 五险一金 "
"Python WEB开发工程师（杭州）(J10360)" 杭州-滨江区 "外资（非欧美） " " 大专  2年" 1-1.5万/月 " "
Python开发工程师 珠海-香洲区 "民营公司 " " 大专  1年" 1.1-1.6万/月 " 五险一金 员工旅游 专业培训 交通补贴 "
Python开发工程师 成都 "上市公司 " " 本科  3-4年" 0.8-1.3万/月 " 五险一金 定期体检 上市公司 团建活动 "
开发工程师（Python/go） 南京-雨花台区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 补充医疗保险 餐饮补贴 年终奖金 "
Python开发工程师 长沙-芙蓉区 "民营公司 " " 本科  1年" 0.9-1.2万/月 " 五险一金 "
Python开发工程师 西安-长安区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
python后端开发（中级） 杭州-西湖区 "民营公司 " " 本科  3-4年" 1.1-1.8万/月 " 五险一金 年终奖金 通讯补贴 股票期权 "
Python开发工程师 重庆 "外资（非欧美） " " 本科  1年" 0.7-1.2万/月 " 周末双休 带薪年假 五险一金 免费班车 "
Python开发工程师 苏州-相城区 "国企 " " 本科  1年" 1-1.5万/月 " 五险一金 "
Python开发工程师 宁波-高新区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " "
初级开发工程师(python) 杭州-上城区 "外资（非欧美） " " 本科  1年" 1-1.5万/月 " 五险一金 餐饮补贴 定期体检 周末双休 "
Python开发工程师 苏州-工业园区 "上市公司 " " 大专  2年" 1-2万/月 " 五险一金 补充医疗保险 餐饮补贴 专业培训 "
"python 开发工程师" 成都 "民营公司 " " 2年" 0.7-1.1万/月 " 五险一金 年终奖金 员工餐 带薪年假 "
Python开发工程师 武汉-江夏区 "民营公司 " " 大专  1年" 0.9-1.6万/月 " 绩效奖金 五险一金 全勤奖 弹性工作 "
Python高级开发工程师 汕头 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 餐饮补贴 年终奖金 绩效奖金 "
Python开发工程师 成都 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python数据开发工程师 西安-高新技术产业开发区 "民营公司 " " 本科  2年" 0.7-1.4万/月 " 五险一金 团队氛围好 晋升空间大 带薪休假 "
Python开发工程师 南京 "上市公司 " " 本科  2年" 0.8-1.3万/月 " 五险一金 员工旅游 定期体检 "
Python开发工程师 苏州-工业园区 "民营公司 " " 本科  2年" 1.2-1.9万/月 " 五险一金 补充医疗保险 年终奖金 包吃 "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  3-4年" 1-1.6万/月 " 餐补 周末双休 五险一金 年终奖金 "
Python后端开发工程师 南京-玄武区 "民营公司 " " 本科  无需经验" 1-1.5万/月 " 五险一金 补充医疗保险 定期体检 "
Python开发工程师 西安-未央区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 周末双休 带薪年假 年末旅游 全勤奖 "
python开发工程师（QT方向） 东莞-松山湖区 "上市公司 " " 大专  2年" 1-1.5万/月 " 餐饮补贴 周末双休 "
"后端开发软件工程师（python ）" 青岛-市北区 "民营公司 " " 大专  3-4年" 1.3-2.5万/月 " 五险一金 年终奖金 包住宿 工作餐 "
Python爬虫工程师 东莞-南城区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python开发工程师 武汉-江汉区 "民营公司 " " 大专  1年" 0.8-1.2万/月 " 五险一金 年终奖金 专业培训 定期体检 "
Python开发工程师 淄博 "上市公司 " " 本科  2年" 0.8-1.5万/月 " 五险一金 专业培训 股票期权 绩效奖金 "
Python开发工程师 西安-高新技术产业开发区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 周末双休 "
"Python Developer" 珠海-横琴新区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 带薪年假 年终奖金 "
Python开发工程师 武汉-武昌区 "合资 " " 大专  2年" 1-1.5万/月 " 五险一金 绩效奖金 通讯补贴 交通补贴 "
Python工程师 宁波 "民营公司 " " 大专  2年" 1.2-1.8万/月 " 员工旅游 餐饮补贴 专业培训 年终奖金 "
Python开发工程师 烟台 "民营公司 " " 本科  2年" 0.6-1.2万/月 " 员工旅游 年终奖金 餐饮补贴 绩效奖金 "
Python开发工程师 南京-浦口区 "民营公司 " " 本科  1年" 0.8-1.3万/月 " 五险一金 绩效奖金 年终奖金 股票期权 "
Python开发工程师（非外包） 南京 "民营公司 " " 大专  1年" 1-1.5万/月 " 绩效奖金 年终奖金 专业培训 五险一金 "
Python爬虫工程师 杭州-滨江区 "上市公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发工程师+天府三街 成都-高新区 "民营公司 " " 本科  2年" 1-1.5万/月 " 周末双休 带薪年假 五险一金 绩效奖金 "
Python开发工程师 昆山 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 补充医疗保险 补充公积金 员工旅游 "
"Software Developer(python developer)" 大连 "外资（欧美） " " 本科  3-4年" 0.7-1.3万/月 " 弹性工作 带薪年假 绩效奖金 节日福利 "
"光谷地铁口高薪 Python工程师 不加班" 武汉-洪山区 "创业公司 " " 大专  5-7年" 1-1.5万/月 " 五险一金 餐饮补贴 年终奖金 绩效奖金 "
Python开发工程师 武汉 "民营公司 " " 本科  5-7年" 1.2-2万/月 " 五险一金 员工旅游 专业培训 交通补贴 "
Python开发工程师 长沙 "民营公司 " " 本科  2年" 13-24万/年 " "
Python开发工程师 合肥-蜀山区 "民营公司 " " 大专  3-4年" 1-2万/月 " 周末双休 五险一金 年终奖金 交通补贴 "
Python开发工程师 杭州 "非营利组织 " " 硕士  3-4年" 1-1.5万/月 " "
Python开发工程师 苏州-工业园区 "创业公司 " " 大专  1年" 1-1.5万/月 " 交通补贴 餐饮补贴 通讯补贴 年终奖金 "
python工程师 长沙-雨花区 "民营公司 " " 大专  2年" 0.8-1.3万/月 " "
Python后端开发工程师(4HSP) 南京-雨花台区 "民营公司 " " 本科  3-4年" 1-2万/月 " 下午茶 瑜伽健身 六险一金 股票期权 "
Python开发工程师(002128)副本 杭州-萧山区 "民营公司 " " 本科  3-4年" 1-2万/月 " 绩效奖金 带薪年假 午餐补助 通讯津贴 "
Python开发工程师 成都-高新区 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 通讯补贴 带薪年假 节日福利 定期体检 "
爬虫工程师（python） 重庆-渝北区 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 五险 周末双休 妹子多 零食供应 "
Python开发 武汉 "外资（欧美） " " 本科  2年" 1-1.5万/月 " "
Python开发工程师 南京-雨花台区 "民营公司 " " 本科  2年" 1-1.8万/月 " 五险一金 定期体检 弹性工作 年终奖金 "
Python开发工程师 大连-高新园区 "民营公司 " " 大专  3-4年" 0.8-1.3万/月 " 带薪年假 五险一金 绩效奖金 节日福利 "
Python开发工程师 成都-武侯区 "外资（非欧美） " " 大专  3-4年" 1-1.5万/月 " 五险一金 员工旅游 餐饮补贴 通讯补贴 "
Python开发工程师 苏州-工业园区 "民营公司 " " 本科  1年" 0.7-1.2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 南京-浦口区 民营公司  1-1.5万/月 " 五险一金 定期体检 员工旅游 年终奖金 "
高级开发（Python/Java） 郑州-金水区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 餐饮补贴 年终奖金 绩效奖金 "
全栈工程师（Python方向） 苏州 "民营公司 " " 大专  1年" 0.8-1.5万/月 " 五险一金 绩效奖金 带薪年假 加班费 "
软件开发中级工程师（Python） 南京 "民营公司 " " 本科  3-4年" 0.6-1.2万/月 " 五险一金 交通补贴 通讯补贴 专业培训 "
软件工程师Java+Python 杭州-拱墅区 "民营公司 " " 本科  3-4年" 1-1.7万/月 " 五险一金 交通补贴 年终奖金 弹性工作 "
C/C++/Python 长沙-岳麓区 "民营公司 " " 本科  2年" 1-2万/月 " 五险一金 绩效奖金 专业培训 补充医疗保险 "
Python算法工程师 成都-金牛区 "国企 " " 大专  3-4年" 1-1.6万/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
python大数据分析工程师 海口 "民营公司 " " 本科  3-4年" 0.8-1.6万/月 " "
Python开发工程师 佛山-禅城区 "合资 " " 大专  3-4年" 10-15万/年 " 五险一金 定期体检 绩效奖金 周末双休 "
Python开发工程师 无锡-无锡新区 "民营公司 " " 本科  2年" 0.8-1.2万/月 " 周末双休 五险一金 带薪年假 绩效奖金 "
Python开发工程师 苏州-工业园区 "民营公司 " " 本科" 1-1.5万/月 " 五险一金 交通补贴 餐饮补贴 年终奖金 "
安全产品python开发工程师 杭州-滨江区 "上市公司 " " 本科  1年" 1-2万/月 " 五险一金 年终奖金 定期体检 "
软件开发工程师（Python) 杭州-西湖区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 定期体检 节日补贴 意外保险 "
Python开发工程师 东莞-松山湖区 "民营公司 " " 本科  1年" 1-2万/月 " "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  3-4年" 1.1-2.2万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python工程师 苏州-工业园区 "民营公司 " " 本科  1年" 16-20万/年 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
"自动化软件工程师/ Python界面开发" 武汉 "民营公司 " " 本科  5-7年" 1-2万/月 " 五险一金 员工旅游 专业培训 定期体检 "
Python开发工程师 珠海 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 免费班车 绩效奖金 社保 包吃住 "
软件开发（c、java、python） 合肥-经开区 "外资（非欧美） " " 本科  无需经验" 1-2万/月 " 五险一金 免费班车 员工旅游 专业培训 "
Python工程师 重庆-渝北区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python开发工程师 长沙-岳麓区 "创业公司 " " 大专  2年" 0.8-1.5万/月 " 节日福利 专业培训 交通补贴 定期体检 "
Python开发工程师 苏州-高新区 "民营公司 " " 本科  3-4年" 1.2-1.5万/月 " 五险一金 补充医疗保险 免费班车 员工旅游 "
Java/python爬虫工程师 东莞 "国企 " " 大专  2年" 1-1.5万/月 " 五险一金 补充医疗保险 通讯补贴 专业培训 "
python工程师 昆山 "上市公司 " " 本科  2年" 1-1.5万/月 " 五险一金 年终奖金 餐饮补贴 补充公积金 "
Python开发工程师 东莞-长安镇 "民营公司 " " 大专  1年" 0.7-1.4万/月 " 周末双休 带薪年假 五险一金 绩效奖金 "
软件工程师（Python） 杭州-滨江区 "民营公司 " " 本科  无需经验" 1-2万/月 " 周末双休 五险一金 绩效奖金 节日福利 "
python开发工程师 武汉-洪山区 "外资（非欧美） " " 大专  1年" 0.8-1.3万/月 " 周末双休 节日福利 员工旅游 做五休二 "
Python开发工程师 南昌 "上市公司 " " 本科  2年" 1-2万/月 " 员工旅游 专业培训 通讯补贴 五险一金 "
Python开发工程师/软件工程师 杭州-钱塘区 "民营公司 " " 大专  2年" 1.2-2万/月 " 五险一金 员工旅游 定期体检 年终奖金 "
Python开发工程师 长沙-岳麓区 "民营公司 " " 本科  无需经验" 0.7-1.2万/月 " 双休 五险一金 绩效激励 年终奖金 "
编程工程师（C/C++/Ruby/Python） 武汉-洪山区 "民营公司 " " 本科  无需经验" 1-2万/月 " "
Python开发工程师 武汉-洪山区 "民营公司 " " 本科  2年" 1-1.5万/月 " "
Python开发工程师 杭州-滨江区 "合资 " " 本科  2年" 0.8-1.3万/月 " "
中级软件工程师(Python) 重庆-渝北区 "民营公司 " " 本科  3-4年" 0.9-1.3万/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
Python爬虫工程师 东莞-南城区 "民营公司 " " 大专  3-4年" 0.8-1.5万/月 " 周末双休 带薪年假 全勤奖 节日福利 "
Python开发高级工程师 佛山-南海区 "民营公司 " " 大专  2年" 0.8-2万/月 " 五险一金 周末双休 带薪年假 专业培训 "
Python开发工程师 武汉-东湖新技术产业开发区 "合资 " " 本科  2年" 1-1.5万/月 " 五险一金 免费班车 员工旅游 弹性工作 "
Python软件开发工程师 昆山 "创业公司 " " 大专  2年" 1-2万/月 " 五险一金 年终奖金 绩效奖金 "
Python人工智能课程研发 大连-高新园区 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 五险一金 专业培训 年终奖金 定期体检 "
C++/Python/Java软件工程师 青岛-即墨区 "非营利组织 " " 本科  2年" 1-1.5万/月 " 节日福利 绩效奖金 五险一金 年终奖金 "
开发工程师（PHP/PYTHON/GO方向） 昆明-西山区 "国企 " " 本科  1年" 0.8-1.5万/月 " 五险一金 补充医疗保险 交通补贴 餐饮补贴 "
Python高级开发工程师 长沙-天心区 "民营公司 " " 本科  2年" 0.8-1.6万/月 " 绩效奖金 年终奖金 餐饮补贴 周末双休 "
python爬虫工程师 东莞-南城区 "民营公司 " " 大专  3-4年" 0.8-1.5万/月 " 做五休二 周末双休 带薪年假 五险一金 "
Python软件工程师 成都-郫都区 "合资 " " 本科  1年" 0.9-1.4万/月 " 五险一金 补充医疗保险 交通补贴 餐饮补贴 "
Python开发工程师 成都-高新区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 专业培训 带薪年假 周末双休 "
Python/Django开发工程师 苏州-吴中区 "外资（非欧美） " " 大专  1年" 0.6-1.2万/月 " 五险一金 补充公积金 餐饮补贴 年终奖金 "
python爬虫工程师 东莞-南城区 "民营公司 " " 大专  3-4年" 0.8-1.5万/月 " 五险一金 周末双休 全勤奖 绩效奖金 "
Python研发工程师 珠海 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 节日福利 生日礼品 带薪年假 "
鲲鹏技术培训工程师（java/Python） 贵阳-花溪区 "民营公司 " " 本科  1年" 1.5-2.5万/月 " 周末双休 带薪年假 五险一金 绩效奖金 "
Python高级开发工程师 北京-海淀区 "民营公司 " " 本科  5-7年" 2.1-4万/月 " "
Python开发工程师(J10219) 上海-闵行区 "上市公司 " " 本科  3-4年" 20-38万/年 " 五险一金 补充公积金 年终奖金 提供三餐 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 餐饮补贴 通讯补贴 年终奖金 "
Python高级开发工程师 上海-闵行区 "民营公司 " " 本科  5-7年" 1.5-3万/月 " 五险一金 免费班车 员工旅游 股票期权 "
Python开发工程师 上海-浦东新区 "外资（欧美） " " 本科  3-4年" 2-2.5万/月 " 节日福利 带薪年假 定期体检 交通补贴 "
年薪25万Python开发工程师 广州-天河区 "民营公司 " " 本科  3-4年" 20-30万/年 " 弹性工作 带薪年假 五险一金 绩效奖金 "
Python开发工程师 上海 "民营公司 " " 本科  3-4年" 2-3万/月 " 五险一金 补充医疗保险 员工旅游 通讯补贴 "
"高级Python  /  爬虫开发工程师" 上海-闵行区 "民营公司 " " 本科  1年" 2-2.5万/月 " 弹性工作 "
Python开发工程师 上海-浦东新区 "民营公司 " " 大专  1年" 1.5-2万/月 " 五险一金 绩效奖金 "
Python数据专员/高薪双休 深圳-宝安区 "民营公司 " " 大专  1年" 6-8千/月 " 五险一金 员工旅游 定期体检 弹性工作 "
Python高级开发工程师 上海-浦东新区 "民营公司 " " 本科  5-7年" 1.5-2万/月 " "
Python开发工程师 北京-西城区 "民营公司 " " 本科  5-7年" 1.5-2万/月 " 五险一金 周末双休 带薪年假 节日福利 "
Python开发工程师 上海 "外资（非欧美） " " 大专  无需经验" 6-8千/月 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python开发工程师 上海 "民营公司 " " 大专  无需经验" 6-8千/月 " 五险一金 餐饮补贴 年终奖金 绩效奖金 "
Python开发工程师 上海-浦东新区 "民营公司 " " 大专  2年" 1.5-2万/月 " "
Python开发工程师 深圳-罗湖区 "民营公司 " " 本科  5-7年" 1.5-2万/月 " "
Python开发工程师 深圳 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 补充医疗保险 餐饮补贴 专业培训 "
Python开发工程师 上海 "民营公司 " " 大专  无需经验" 6-8千/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
Python开发工程师 上海-长宁区 "民营公司 " " 本科  1年" 1.5-2.3万/月 " 五险一金 交通补贴 免费班车 弹性工作 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1.5-2.5万/月 " 餐饮补贴 专业培训 弹性工作 五险一金 "
年薪25万Python工程师 广州-天河区 "民营公司 " " 本科  3-4年" 20-30万/年 " 弹性工作 带薪年假 五险一金 绩效奖金 "
Python高级开发工程师 上海-虹口区 "上市公司 " " 本科  5-7年" 1.5-2.5万/月 " "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
Python开发工程师 上海-闵行区 "民营公司 " " 大专  5-7年" 2-2.5万/月 " 五险一金 员工旅游 定期体检 年终奖金 "
Python开发工程师/高级开发工程师-03 上海-徐汇区 "上市公司 " " 本科  3-4年" 2-2.5万/月 " 五险一金 年终奖金 绩效奖金 员工旅游 "
Python开发工程师 深圳-龙岗区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.6-2.3万/月 " 五险一金 免费班车 员工旅游 交通补贴 "
Python开发工程师 深圳-宝安区 "民营公司 " " 大专  无需经验" 0.6-1万/月 " 五险一金 补充公积金 通讯补贴 餐饮补贴 "
Python开发工程师 深圳 "民营公司 " " 大专  3-4年" 2-3.5万/月 " 补充公积金 员工旅游 年终奖金 绩效奖金 "
Python后端工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 25-45万/年 " 五险一金 员工旅游 绩效奖金 年终奖金 "
Python开发工程师 上海-长宁区 "民营公司 " " 大专  1年" 0.8-1万/月 " 补充医疗保险 员工旅游 年终奖金 定期体检 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1.5-2万/月 " 五险一金 员工旅游 餐饮补贴 年终奖金 "
Python软件开发工程师 北京-朝阳区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 补充医疗保险 餐饮补贴 年终奖金 "
Python开发工程师 上海-普陀区 "民营公司 " " 大专  1年" 0.8-1万/月 " 周末双休 带薪年假 五险一金 节日福利 "
Python高级开发工程师 深圳-福田区 "民营公司 " " 大专  5-7年" 1.5-2.5万/月 " 五险一金 绩效奖金 年终奖金 "
Python开发工程师（后端） 上海-静安区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 餐饮补贴 "
Python开发工程师 上海-嘉定区 "民营公司 " " 大专  1年" 1.5-2万/月 " "
Python开发工程师 深圳-福田区 "民营公司 " " 本科  3-4年" 1.8-3.6万/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
Python开发工程师 上海-静安区 "民营公司 " " 本科  1年" 1.5-2万/月 " 周末双休 五险一金 节日福利 加班补贴 "
Python开发工程师 广州-天河区 "民营公司 " " 大专  1年" 6-9千/月 " 员工旅游 交通补贴 通讯补贴 下午茶 "
Python后台开发工程师 深圳-南山区 "民营公司 " " 本科  1年" 1.5-2.5万/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
python开发/薪资待遇好 深圳-龙岗区 "民营公司 " " 本科  2年" 2-2.5万/月 " 五险一金 节日福利 周末双休 朝九晚六 "
Python开发工程师 上海-虹口区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 弹性工作 员工旅游 年终奖金 "
Python开发工程师 北京 "合资 " " 本科  3-4年" 1.7-1.9万/月 " 五险一金 补充医疗保险 免费班车 弹性工作 "
Python高级开发工程师 上海-长宁区 "民营公司 " " 本科  3-4年" 2-4万/月 " 五险一金 补充公积金 员工旅游 专业培训 "
Python软件工程师（OpenStack） 上海-浦东新区 "民营公司 " " 本科  5-7年" 1.5-3万/月 " 五险一金 年终奖金 弹性工作 "
Python开发工程师 上海-徐汇区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " "
Python开发工程师 上海-闵行区 "外资（非欧美） " " 大专  3-4年" 1.5-3万/月 " 五险一金 补充医疗保险 专业培训 绩效奖金 "
Python人工智能 上海-浦东新区 "民营公司 " " 大专  1年" 0.8-1万/月 " 五险一金 员工旅游 交通补贴 专业培训 "
Web后端python高级开发工程师 上海-浦东新区 "创业公司 " " 本科  3-4年" 2-3.5万/月 " 五险一金 绩效奖金 员工旅游 通讯补贴 "
Python开发工程师 上海-闵行区 "民营公司 " " 大专  5-7年" 1.5-2.5万/月 " 五险一金 专业培训 餐饮补贴 定期体检 "
Python开发工程师 上海 "民营公司 " " 大专  3-4年" 1.7-2.3万/月 " 五险一金 年终奖金 带薪年假 节日福利 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  5-7年" 1.5-3万/月 " 五险一金 专业培训 绩效奖金 年终奖金 "
