职称 地区 公司资质 要求 薪资 福利
Python开发工程师 广州-番禺区 "合资 " " 本科  3-4年" 1-1.5万/月 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
Python开发工程师 深圳-龙华区 "上市公司 " " 本科  2年" 1.2-2万/月 " 五险一金 餐饮补贴 绩效奖金 年终奖金 "
后端研发工程师(python/go) 北京-海淀区 "民营公司 " " 本科  1年" 0.7-1.4万/月 " 五险一金 弹性工作 "
Python开发工程师(中高级） 上海-徐汇区 "国企 " " 本科  3-4年" 1-2万/月 " 补充医疗保险 五险一金 定期体检 绩效奖金 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1-1.6万/月 " 五险一金 下午茶 补充意外险 补充医疗保险 "
Python开发工程师 广州-越秀区 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 补充医疗保险 补充公积金 员工旅游 "
Python开发工程师 上海-徐汇区 "民营公司 " " 本科  1年" 0.7-1.2万/月 " 五险一金 补充医疗保险 交通补贴 餐饮补贴 "
"Software Engineer (Python)" 广州-天河区 "外资（欧美） " " 本科  3-4年"  " 专业培训 弹性工作 五险一金 补充医疗保险 "
Python开发工程师 上海 "民营公司 " " 本科  1年" 1-2万/月 " "
Python工程师 上海-徐汇区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 弹性工作 做五休二 周末双休 "
Python开发工程师（RPA） 广州-天河区 "民营公司 " " 本科  2年" 0.8-1.2万/月 " 周末双休 五险一金 交通补贴 餐饮补贴 "
Python开发工程师 广州-天河区 "民营公司 " " 本科  1年" 0.6-1.6万/月 " 五险一金 绩效奖金 年终奖金 周末双休 "
Python开发工程师 广州 "民营公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 带薪年假 年终奖金 定期体检 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1.3-1.8万/月 " "
Python开发工程师 广州-黄埔区 "民营公司 " " 本科  2年" 0.8-1.1万/月 " 五险一金 弹性工作 13薪 双休 "
Python后端开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " 五险一金 定期体检 专业培训 员工旅游 "
Python开发工程师 广州-海珠区 "国企 " " 本科  1年" 0.8-1.5万/月 " "
Python开发工程师 广州-海珠区 "民营公司 " " 大专  2年" 1-1.6万/月 " 五险一金 绩效奖金 定期体检 下午茶 "
python开发工程师 上海-徐汇区 "民营公司 " " 大专  2年" 1.2-2万/月 " 五险一金 绩效奖金 专业培训 年终奖金 "
Python开发工程师 深圳-罗湖区 "民营公司 " " 本科  3-4年" 1.4-1.5万/月 " 五险一金 带薪年假 带薪病假 带薪婚嫁 "
Python中高级工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1.2-2万/月 " 五险一金 交通补贴 通讯补贴 员工旅游 "
Python开发工程师 上海-闵行区 "合资 " " 大专  2年" 1-1.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
中级python开发工程师(J10603) 广州-天河区 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
python开发工程师 上海-闵行区 "民营公司 " " 本科  2年" 1.3-2.5万/月 " 大牛带队 准独角兽企业 租房补贴 餐饮补贴 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 定期体检 通讯补贴 年终奖金 "
Python开发工程师 上海-静安区 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " 五险一金 年终奖金 员工旅游 做五休二 "
Python开发工程师 广州-天河区 "民营公司 " " 大专  3-4年" 1.1-2万/月 " "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1.3-2万/月 " 五险一金 补充医疗保险 通讯补贴 绩效奖金 "
Python后端开发工程师 上海-长宁区 "民营公司 " " 本科  2年" 1.1-1.5万/月 " 五险一金 补充公积金 弹性工作 地铁周边 "
Python开发工程师 深圳-龙华区 "民营公司 " " 本科  2年" 0.8-1.4万/月 " 五险一金 免费班车 员工旅游 绩效奖金 "
Python工程师 上海-徐汇区 "民营公司 " " 本科  1年" 0.8-1.5万/月 " 五险一金 餐饮补贴 绩效奖金 年终奖金 "
Python开发工程师 北京-海淀区 "上市公司 " " 本科  1年" 1-1.5万/月 " 五险一金 专业培训 年终奖金 弹性工作 "
Python开发工程师(会展中心/购物公园） 深圳-福田区 "民营公司 " " 大专  3-4年" 1.3-2万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
Python后端开发 北京-朝阳区 "民营公司 " " 大专  3-4年" 0.9-1.5万/月 " 五险一金 免费班车 餐饮补贴 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  1年" 1-1.5万/月 " 五险一金 年终奖金 绩效奖金 定期体检 "
Python开发工程师 广州-黄埔区 "合资 " " 大专  2年" 1.2-2万/月 " 五险一金 员工旅游 专业培训 弹性工作 "
Python开发工程师（接受21届 上海-青浦区 "民营公司 " " 本科  1年" 1-1.3万/月 " 五险一金 年终奖金 餐饮补贴 专业培训 "
Python开发工程师 北京-海淀区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 年终奖金 五险一金 "
程序员（Python/fortran） 广州-天河区 "民营公司 " " 本科  无需经验" 0.6-1.8万/月 " 员工旅游 专业培训 绩效奖金 年终奖金 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 员工旅游 定期体检 绩效奖金 "
Python开发工程师 广州-天河区 "外资（非欧美） " " 本科  2年" 0.8-1.2万/月 " 五险一金 员工旅游 弹性工作 年终奖金 "
Python开发工程师 上海-杨浦区 "民营公司 " " 大专  3-4年" 1.1-1.8万/月 " 五险一金 定期体检 专业培训 员工旅游 "
Python开发工程师 深圳-福田区 "民营公司 " " 本科  2年" 0.9-1.3万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  2年" 1-1.8万/月 " 五险一金 绩效奖金 通讯补贴 餐饮补贴 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.3-1.6万/月 " 五险一金 绩效奖金 弹性工作 周末双休 "
Python开发工程师 深圳-福田区 "民营公司 " " 大专  3-4年" 1.3-1.8万/月 " 五险一金 员工旅游 餐饮补贴 年终奖金 "
"python 高级" 广州-海珠区 "民营公司 " " 大专  3-4年" 0.8-1.3万/月 " 五险一金 年终奖金 定期体检 员工旅游 "
软件开发工程师Python（深圳） 深圳-南山区 "民营公司 " " 本科  2年" 1.2-2万/月 " 五险一金 带薪年假 周末双休 绩效奖金 "
Python开发(琶洲地铁） 广州-海珠区 "民营公司 " " 本科  3-4年" 1.2-1.9万/月 " 团队大型 技术牛人多 头部企业 双休 "
Python开发工程师 深圳-福田区 "民营公司 " " 本科  2年" 0.9-1.2万/月 " 员工旅游 节日福利 弹性工作 六险一金 "
Python开发工程师 北京-海淀区 "民营公司 " " 大专  3-4年" 1-2万/月 " 五险一金 定期体检 年终奖金 "
python 深圳-福田区 "民营公司 " " 本科  3-4年" 1.1-1.6万/月 " "
Python开发工程师（中科智城） 广州-南沙区 "事业单位 " " 本科  3-4年" 1-1.5万/月 " 周末双休 节日福利 专业培训 "
python后端开发工程师 深圳-福田区 "民营公司 " " 本科  1年" 0.9-1.8万/月 " 周末双休 带薪年假 五险一金 节日福利 "
PYTHON（自测方向） 深圳-南山区 "民营公司 " " 大专  1年" 1.2-1.9万/月 " 五险一金 弹性工作 节日福利 包三餐 "
初级Python开发工程师 深圳 "民营公司 " " 本科  2年" 0.8-1.2万/月 " 五险一金 员工旅游 周末双休 年终奖金 "
Python开发工程师 北京-丰台区 "创业公司 " " 大专  1年" 0.6-1.2万/月 " 双休 定期体检 生日节日福利 项目绩效奖金 "
"Python 后端开发" 上海-浦东新区 "民营公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 补充医疗保险 员工旅游 节日礼品 "
python开发工程师-北京 北京-海淀区 "国企 " " 本科  2年" 1-1.5万/月 " 五险一金 餐饮补贴 定期体检 年终奖金 "
Python工程师 北京-石景山区 "上市公司 " " 本科  1年" 1-1.8万/月 " 五险一金 餐饮补贴 带薪年假 定期体检 "
Python研发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1-2万/月 " 专业培训 定期体检 员工旅游 交通补贴 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  2年" 0.6-1.5万/月 " "
Python开发工程师（大厂） 广州-天河区 "合资 " " 本科  1年" 0.8-1.5万/月 " 餐饮补贴 六险一金 周末双休 年终奖金 "
Python开发工程师 深圳-南山区 "外资（欧美） " " 大专  3-4年" 1.3-1.6万/月 " 五险一金 补充医疗保险 定期体检 年终奖金 "
中级Python级研发工程师 上海-长宁区 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 员工旅游 通讯补贴 专业培训 "
Python开发工程师 广州-天河区 "民营公司 " " 大专  1年" 0.8-1.2万/月 " 五险一金 员工旅游 节日福利 带薪年假 "
Python开发工程师 上海-长宁区 "民营公司 " " 大专  2年" 1.1-1.7万/月 " 五险一金 年终奖金 周末双休 节假日福利 "
Python开发工程师（Odoo) 广州-天河区 "民营公司 " " 本科  1年" 0.8-2万/月 " 五险一金 周末双休 绩效奖金 交通补贴 "
Python高级开发工程师 北京 "民营公司 " " 本科  2年" 1.2-2.4万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1.3-2.5万/月 " 五险一金 弹性工作 员工旅游 定期体检 "
Python开发工程师 上海-浦东新区 "上市公司 " " 大专  1年" 1-1.6万/月 " 通讯补贴 餐饮补贴 交通补贴 节日福利 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  1年" 1-1.8万/月 " "
中高级Python开发工程师 深圳-福田区 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " "
Python开发工程师 北京 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 补充医疗保险 通讯补贴 定期体检 "
Python开发工程师（SZ01） 深圳-福田区 "合资 " " 本科  3-4年" 1.2-1.7万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
python开发工程师(J10541) 广州-天河区 "民营公司 " " 本科  1年" 1.2-1.7万/月 " 五险一金 绩效奖金 定期体检 餐饮补贴 "
Python开发/Odoo工程师 上海-杨浦区 "民营公司 " " 大专  1年" 1-2万/月 " 五险一金 绩效奖金 弹性工作 年终奖金 "
Python开发工程师 上海-徐汇区 "民营公司 " " 大专  3-4年" 0.8-1.5万/月 " 五险一金 通讯补贴 绩效奖金 年终奖金 "
Python开发工程师 广州-越秀区 "民营公司 " " 本科  1年" 0.8-1.6万/月 " 五险一金 员工旅游 定期体检 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  1年" 0.7-1.2万/月 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
Python开发工程师 深圳-福田区 "民营公司 " " 本科  1年" 1.2-1.7万/月 " 五险一金 补充医疗保险 补充公积金 员工旅游 "
中级Python开发工程师 深圳-南山区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
Python开发工程师 北京-朝阳区 "民营公司 " " 本科  1年" 0.8-1.2万/月 " 股票期权 年终奖金 交通补贴 "
Python开发工程师 上海-黄浦区 "民营公司 " " 大专  2年" 1.2-1.7万/月 " 五险一金 年终奖金 "
Python开发工程师 北京-海淀区 "民营公司 " " 大专  2年" 0.8-1.5万/月 " 餐饮补贴 定期体检 免费班车 员工旅游 "
python开发工程师 上海-闵行区 "民营公司 " " 本科  2年" 0.8-1.6万/月 " 带薪年假 五险一金 交通补贴 餐饮补贴 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.3-2.6万/月 " 五险一金 餐饮补贴 绩效奖金 定期体检 "
python研发工程师 北京-朝阳区 "创业公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 员工旅游 定期体检 弹性工作 "
人工智能python工程师 北京-东城区 "民营公司 " " 本科  2年" 15-20万/年 " 五险一金 员工旅游 餐饮补贴 专业培训 "
Python开发工程师 上海-闵行区 "上市公司 " " 大专  3-4年" 1.2-1.8万/月 " 绩效奖金 客户稳定 项目持久 六险一金 "
Python开发工程师 上海-浦东新区 "外资（非欧美） " " 本科  5-7年" 1.3-2.4万/月 " "
Python开发工程师 上海-长宁区 "民营公司 " " 本科  2年" 1.4-2万/月 " 五险一金 绩效奖金 股票期权 定期体检 "
Python维护开发工程师 上海-黄浦区 "国企 " " 大专  2年" 0.8-1.5万/月 " 五险一金 带薪年假 绩效奖金 节日福利 "
Python开发工程师 上海-徐汇区 "民营公司 " " 本科  3-4年" 1.3-2万/月 " "
Python开发工程师 上海-松江区 "民营公司 " " 本科  1年" 0.8-1.6万/月 " 五险一金 员工旅游 通讯补贴 定期体检 "
"Python开发工程师 （初级）" 深圳-福田区 "合资 " " 本科  2年" 1-1.5万/月 " 五险一金 专业培训 年终奖金 绩效奖金 "
Python开发工程师 广州-越秀区 "民营公司 " " 大专  2年" 1.1-1.5万/月 " 员工旅游 五险一金 餐饮补贴 弹性工作 "
Python开发工程师 上海-浦东新区 "民营公司 " " 大专  3-4年" 1.3-1.8万/月 " 五险一金 免费班车 餐饮补贴 "
Python开发工程师 深圳 "民营公司 " " 本科  1年" 1.2-2.4万/月 " 五险一金 员工旅游 专业培训 年终奖金 "
Python开发工程师（中/高级） 深圳-福田区 "上市公司 " " 大专  5-7年" 1.4-1.8万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
中级Python开发工程师 上海-普陀区 "外资（欧美） " " 大专  2年" 1-1.5万/月 " 五险一金 弹性工作 带薪年假 补充医疗保险 "
Python开发工程师(J12915) 北京-海淀区 "上市公司 " " 本科  2年" 1.2-1.8万/月 " 五险一金 补充医疗保险 专业培训 通讯补贴 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 早九晚五 周末双休 "
"python 开发工程师" 上海-虹口区 "民营公司 " " 本科  1年" 1-1.6万/月 " 五险一金 周末双休 带薪年假 员工旅游 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  2年" 1-1.5万/月 " "
Python 上海-长宁区 "合资 " " 大专  3-4年" 1-1.5万/月 " 五险一金 年终奖金 节日福利 专业培训 "
Python工程师 上海-普陀区 "民营公司 " " 大专  2年" 1-1.5万/月 " 五险一金 员工旅游 年终奖金 定期体检 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.2-1.8万/月 " "
Python开发工程师 北京-石景山区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " "
python数据处理工程师 上海-嘉定区 "民营公司 " " 本科  1年" 1.3-2.3万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发工程师 上海-浦东新区 "上市公司 " " 本科  3-4年" 1.3-2.1万/月 " "
Python后端开发（devops方向） 深圳-南山区 "民营公司 " " 本科  3-4年" 1.2-2.2万/月 " 五险一金 通讯补贴 定期体检 员工旅游 "
Python开发工程师 深圳-龙岗区 "民营公司 " " 本科  1年" 1-1.6万/月 " 五险一金 年终奖金 做五休二 "
Python开发工程师 上海-嘉定区 "民营公司 " " 本科  1年" 1-2万/月 " 五险一金 补充医疗保险 餐饮补贴 通讯补贴 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.3-2万/月 " 专业培训 周末双休 五险一金 免费班车 "
Python爬虫工程师（双休） 广州-天河区 "民营公司 " " 大专  1年" 1-1.4万/月 " 五险一金 专业培训 定期体检 年终奖金 "
"python全栈开发工程师 (MJ000240)" 北京-朝阳区 "外资（欧美） " " 本科  2年" 1-2万/月 " 补充医疗保险 定期体检 带薪年假 带薪病假 "
Python开发工程师 深圳-南山区 "民营公司 " " 1年" 0.8-1.3万/月 " 五险一金 年终奖金 大型节日补贴 "
中级python软件工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 定期体检 弹性工作 年终奖金 "
Python开发 上海-浦东新区 "民营公司 " " 大专  3-4年" 1-2万/月 " 做五休二 五险一金 绩效奖金 带薪年假 "
Python开发工程师 北京-海淀区 "民营公司 " " 大专  1年" 1-1.5万/月 " 五险一金 补充医疗保险 员工旅游 周末双休 "
